Node,Biomass,Geothermal,RoR,WindOnshore,WindOffshore,PV
252,21.93708143,0,0,0,0,18.15333222
253,0,0,6.654789544,0,0,11.02305525
254,62.33251541,0,10.65083222,86.82400063,0,382.821414
255,7.382317259,0,4.371034783,5.401181999,0,100.3565672
256,4.409324703,0,6.617818491,0,0,26.08572891
257,5.362443184,0,19.40610573,2.700590999,0,83.66498158
258,0,0,0,0,0,0
259,0,0,0,0,0,0
260,1.243865687,0,0,0,0,58.76359563
261,0,0,0,0,0,0
262,5.717072875,0,0.121476317,0.128278072,0,110.7343458
263,0.243654349,0,0.421998162,10.27574875,0,72.35756906
264,0,0,0,0,0,0
265,19.21572854,0,8.234404193,1.012721625,0,104.1430733
266,10.70676586,0,148.2593539,3.60650425,0,78.37858173
267,30.07697944,0,12.64082556,37.68202136,0,203.5041274
268,13.97951469,0,8.680222276,68.89680243,0,220.8958358
269,7.905559853,0,2.84455282,0,0,70.12169242
270,18.3215785,0,11.94069944,0,0,71.91229954
271,4.443108709,0,0.241896318,6.353140326,0,45.30419304
272,3.878199173,0,2.429526342,0.675957927,0,26.36150489
273,3.80530762,0,9.401210626,0,0,36.71608411
274,12.81150945,0,3.477391616,14.8532505,0,164.1187131
275,2.000627428,0,2.655472291,0,0,45.3811981
276,37.20601903,0,13.5140607,57.56410988,0,255.7484387
277,8.193850041,0,20.23631973,0.002025443,0,105.2672854
278,9.303910588,0,6.49338449,47.39672234,0,65.10308473
279,12.37825516,0,1.21740396,2.443899825,0,134.448494
280,23.43944596,0,7.554242449,50.62932976,0,155.3226751
281,17.51921859,0,2.332873446,8.709405973,0,126.9493242
282,1.040445019,0,140.2707307,2.702211354,0,84.04717392
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,14.28807528,0,88.13400846,4.309468087,0,125.4400457
286,24.04499868,0,0.858150956,4.050886499,0,176.6836827
287,12.88450338,0,3.980197937,0,0,55.08718354
288,39.61778757,0,5.976529169,14.18296381,0,160.4395711
289,46.67680213,0,11.01948643,6.077680044,0,349.6078599
290,1.439812924,0,0.834489483,0,0,56.35202383
291,15.99621511,0,0.787483429,74.52956011,0,169.0104247
292,0,0,0,0,0,0
293,48.74213105,0,3.017894243,71.86656134,0,144.8910805
294,30.46888454,0,25.96717344,0.722621664,0,270.5397424
295,97.79011458,0,84.9168346,28.10463722,0,437.0972449
296,51.45967984,0,37.82499555,17.23497067,0,218.9874264
297,86.27565019,0,14.91739737,54.32859931,0,462.1975486
298,32.34831703,0,72.78589534,8.437393774,0,311.8742526
299,20.23070068,0,5.378402869,0.008879598,0,124.2267993
300,28.0074959,0,99.7499416,13.10264563,0,264.5088337
301,0,0,45.5,0,0,0
302,12.8152988,0,42.74913679,11.1047095,0,191.1654575
303,11.33681722,0,8.966028406,16.11740226,0,198.2517163
304,22.20459752,0,158.617115,0,0,110.6124732
305,54.4200274,0,251.3633485,2.152236901,0,273.7241777
306,27.03731017,0,5.849111333,13.42728373,0,184.8584922
307,14.28312951,13.415,31.01061597,1.331939661,0,79.20224975
308,4.852620833,0,7.838451394,2.663879323,0,63.94332911
309,0,0,27,0,0,0
310,15.31138742,12,1.88997842,0.004883779,0,99.03426387
311,57.26162262,0,82.42091095,7.374150741,0,190.717436
312,0,0,23.3,0,0,0
313,19.82377732,0,45.09076963,51.47325219,0,197.676544
314,12.6198004,0,7.577755027,5.384321683,0,165.9293115
315,59.03470557,0,239.6336232,2.722617862,0,425.5551036
316,52.25774933,0,27.36504035,3.560612139,0,478.3083456
317,31.52496415,0,57.47324913,4.591995176,0,331.9184521
318,33.37806806,0,102.2754801,0.576552281,0,252.6020104
319,41.90633765,0,213.9189213,0.856783507,0,865.0666879
320,16.60591734,0,36.07397628,1.271735989,0,276.5198991
321,36.84722909,0,4.815657951,72.41871373,0,223.9605778
322,157.4864091,0,2.021480572,215.5895473,0,750.1130257
323,58.98397951,0,9.988263214,211.1590542,0,335.6161443
