ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Storage,Latitude,Longitude
BNA0090,136,Steam turbine,Biomass,20,0.38,0,0,0,53.252132,13.957019
BNA0103,335,Steam turbine,Biomass,18.1,0.38,0,0,0,51.48993,10.41307
BNA0106,335,Steam turbine,Biomass,53.5,0.38,0,0,0,51.490098,10.412883
BNA0121,148,Steam turbine,Biomass,11.4,0.38,0,0,0,51.85542,6.88867
BNA0156a,209,Steam turbine,Biomass,18,0.38,0,0,0,51.40667,8.60115
BNA0169,246,Steam turbine,Biomass,28.4,0.38,0,0,0,49.515359,9.325151
BNA0172,315,Combined cycle,NaturalGas,178,0.5445,0.370615243,0,0,48.18345,12.85311
BNA0176,373,Steam turbine,Biomass,10.2,0.38,0,0,0,51.92012,11.80181
BNA0191,345,Steam turbine,Biomass,20,0.38,0,0,0,51.50703,12.30048
BNA0192,345,Steam turbine,Biomass,20,0.38,0,0,0,51.51521,12.32479
BNA0224,360,Steam turbine,Biomass,20,0.38,0,0,0,52.851545,13.77806
BNA0232a,297,Steam turbine,Biomass,13.2,0.38,0,0,0,48.26698,9.72615
